time,yaw_rate_deg,steering_angle_deg
0.02,-0.396041689,2
0.04,-0.396041689,2
0.06,-0.396041689,2
0.08,-0.326100552,2
0.1,-0.396041689,2
0.12,-0.745747374,2
0.14,-0.326100552,2
0.16,-0.326100552,2
0.18,-0.11627714,2
0.2,-0.745747374,2
0.22,-0.326100552,2
0.24,-0.396041689,1.9
0.26,-0.256159415,1.9
0.28,-0.396041689,1.9
0.3,-0.535923963,1.9
0.32,-0.046336003,1.9
0.34,-0.676680501,2
0.36,-0.535923963,2
0.38,-0.186218278,2
0.4,-0.396041689,1.9
0.42,-0.326100552,1.9
0.44,-0.6058651,1.9
0.46,-0.465982826,1.9
0.48,-0.745747374,1.9
0.5,-0.11627714,1.9
0.52,-0.676680501,1.9
0.54,-0.326100552,2
0.56,-0.465982826,2
0.58,-0.6058651,2
0.6,-0.535923963,2
0.62,-0.326100552,2
0.64,-0.396041689,2
0.66,-0.535923963,1.9
0.68,-0.256159415,1.9
0.7,-0.745747374,1.9
0.72,-0.95644505,1.9
0.74,-0.396041689,1.9
0.76,-0.676680501,1.9
0.78,-0.396041689,1.9
0.8,-0.326100552,1.9
0.82,-0.6058651,1.9
0.84,-0.816562776,1.9
0.86,-0.535923963,1.9
0.88,-0.535923963,1.9
0.9,-0.465982826,1.8
0.92,-0.535923963,1.8
0.94,-0.465982826,1.7
0.96,-0.745747374,1.7
0.98,-0.396041689,1.7
1,-0.6058651,1.7
1.02,-0.6058651,1.6
1.04,-0.465982826,1.6
1.06,-0.6058651,1.6
1.08,-0.676680501,1.6
1.1,-0.535923963,1.6
1.12,-0.676680501,1.6
1.14,-0.6058651,1.6
1.16,-0.6058651,1.6
1.18,-0.535923963,1.6
1.2,-0.745747374,1.5
1.22,-0.535923963,1.5
1.24,-0.6058651,1.4
1.26,-0.885629649,1.4
1.28,-0.745747374,1.3
1.3,-0.676680501,1.3
1.32,-0.535923963,1.2
1.34,-0.745747374,1.2
1.36,-0.465982826,1.2
1.38,-0.885629649,1.1
1.4,-0.465982826,1.1
1.42,-0.6058651,1.1
1.44,-0.676680501,1.1
1.46,-0.6058651,1.1
1.48,-0.465982826,1.1
1.5,-0.816562776,1.1
1.52,-0.676680501,1.1
1.54,-0.535923963,1.1
1.56,-0.745747374,1.1
1.58,-0.465982826,1.1
1.6,-0.465982826,1.1
